FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
431643|Browns Valley|Populated Place|08506|U6|||18|IN|1|107|Montgomery|39.9030998|-86.9919539|02/14/1979|
431646|Brownsburg|Populated Place|08416|P1|0560|180560063|18|IN|1|063|Hendricks|39.8433769|-86.3977736|02/14/1979|03/20/2008
431647|Brownstown|Populated Place|08470|P1|0570|180570071|18|IN|1|071|Jackson|38.8789426|-86.0419247|02/14/1979|03/20/2008
431648|Brownsville|Populated Place|08524|U6|0573|180573161|18|IN|1|161|Union|39.6644924|-85.0046842|02/14/1979|05/12/2014
431655|Bruce Lake Station|Populated Place|08565|U6|||18|IN|1|049|Fulton|41.0694862|-86.4147267|02/14/1979|
431656|Lake Bruce|Populated Place|41004|U6|||18|IN|1|049|Fulton|41.0703194|-86.4644501|02/14/1979|
431657|Bruceville|Populated Place|08578|P1|0575|180575083|18|IN|1|083|Knox|38.7594911|-87.4155739|02/14/1979|05/12/2014
431663|Brummitt Acres|Populated Place|08596|U6|||18|IN|1|127|Porter|41.6189274|-87.0169761|02/14/1979|
431667|Brunerstown|Populated Place|08614|U6|||18|IN|1|133|Putnam|39.652544|-86.9983456|02/14/1979|
431671|Brunswick|Populated Place|08632|U6|||18|IN|1|021|Clay|39.1969869|-87.1200124|02/14/1979|
431672|Brunswick|Populated Place|08668|U6|0577|180577089|18|IN|1|089|Lake|41.377813|-87.5080932|02/14/1979|05/12/2014
431693|Brushy Prairie|Populated Place|08686|U6|||18|IN|1|087|LaGrange|41.6417168|-85.2474744|02/14/1979|
431698|Bryant|Populated Place|08704|P1|0580|180580075|18|IN|1|075|Jay|40.533379|-84.9638564|02/14/1979|03/20/2008
431708|Buchanan Corner|Populated Place|08776|U6|||18|IN|1|021|Clay|39.192542|-87.2033475|02/14/1979|
431742|Buckeye|Populated Place|08830|U6|||18|IN|1|069|Huntington|40.6911566|-85.3538612|02/14/1979|
431754|Buckskin|Populated Place|08848|U6|0584|180584051|18|IN|1|051|Gibson|38.2283794|-87.4119591|02/14/1979|
431756|Bucktown|Populated Place|08866|U6|||18|IN|1|153|Sullivan|38.9947665|-87.2600148|02/14/1979|
431757|Bud|Populated Place|08884|U6|||18|IN|1|081|Johnson|39.4469934|-86.1758225|02/14/1979|
431762|Buddha|Populated Place|08902|U6|||18|IN|1|093|Lawrence|38.7919967|-86.4066562|02/14/1979|
431763|Buena Vista|Populated Place|08960|U6|||18|IN|1|061|Harrison|38.0589608|-85.9799649|02/14/1979|
431764|Buena Vista|Populated Place|08938|U6|||18|IN|1|047|Franklin|39.4389383|-85.2724643|02/14/1979|
431765|Buena Vista|Populated Place|08965|U6|||18|IN|1|135|Randolph|40.1206006|-85.0730218|02/14/1979|
431769|Buffalo|Populated Place|08975|U6|||18|IN|1|115|Ohio|39.0206143|-84.8838393|02/14/1979|
431770|Buffalo|Populated Place|08992|U5|0588|180588181|18|IN|1|181|White|40.8825397|-86.7452901|02/14/1979|03/20/2008
431777|Buffaloville|Populated Place|09010|U6|||18|IN|1|147|Spencer|38.0975528|-86.9652732|02/14/1979|
431779|Buffington|Populated Place|09028|U4|||18|IN|1|089|Lake|41.637258|-87.4258739|02/14/1979|
431782|Bufkin|Populated Place|09046|U6|||18|IN|1|129|Posey|37.9878214|-87.8458587|02/14/1979|
431797|Bullocktown|Populated Place|09082|U6|||18|IN|1|173|Warrick|37.974769|-87.2227805|02/14/1979|
431808|Bunker Hill|Populated Place|09145|U6|||18|IN|1|109|Morgan|39.5664359|-86.4413842|02/14/1979|
431809|Bunker Hill|Populated Place|09100|U6|||18|IN|1|041|Fayette|39.6333809|-85.2124646|02/14/1979|
431827|Burdick|Populated Place|09190|U6|||18|IN|1|127|Porter|41.6011503|-86.972808|02/14/1979|04/10/2014
431829|Burge Terrace|Populated Place|09200|U6|||18|IN|1|097|Marion|39.7433763|-85.9963709|02/14/1979|
431833|Burket|Populated Place|09226|P1|0600|180600085|18|IN|1|085|Kosciusko|41.1553219|-85.9686053|02/14/1979|03/20/2008
431841|Burlington|Populated Place|09244|P1|0604|180604015|18|IN|1|015|Carroll|40.4803144|-86.3947188|02/14/1979|03/20/2008
431842|Burlington Beach|Populated Place|09280|U6|||18|IN|1|127|Porter|41.5058727|-87.0453081|02/14/1979|
431848|Burnett|Populated Place|09298|U6|||18|IN|1|167|Vigo|39.5428158|-87.2955734|02/14/1979|
431852|Burnettsville|Populated Place|09316|P1|0610|180610181|18|IN|1|181|White|40.7611507|-86.5936179|02/14/1979|06/30/2011
431853|Burney|Populated Place|09334|U6|0608|180608031|18|IN|1|031|Decatur|39.3172726|-85.6402546|02/14/1979|
431854|Burns City|Populated Place|09352|U5|0611|180611101|18|IN|1|101|Martin|38.8225486|-86.8869483|02/14/1979|01/29/2011
431858|Burnsville|Populated Place|09406|U6|||18|IN|1|005|Bartholomew|39.1728298|-85.7402571|02/14/1979|
431874|Burrows|Populated Place|09460|U6|0613|180613015|18|IN|1|015|Carroll|40.6767053|-86.5075019|02/14/1979|04/10/2014
431891|Bushrod|Populated Place|09478|U6|||18|IN|1|055|Greene|38.9689345|-87.1088996|02/14/1979|
431894|Busseron|Populated Place|09496|U6|0615|180615083|18|IN|1|083|Knox|38.8356012|-87.4491861|02/14/1979|
431897|Butler|Populated Place|09532|P1|0620|180620033|18|IN|1|033|DeKalb|41.4297727|-84.8713502|02/14/1979|04/10/2014
431900|Butler Center|Populated Place|09604|U6|||18|IN|1|033|DeKalb|41.3083825|-85.1366382|02/14/1979|
431906|Butlerville|Populated Place|09622|U5|0621|180621079|18|IN|1|079|Jennings|39.0344983|-85.5127432|02/14/1979|01/29/2011
431925|Byrneville|Populated Place|09640|U6|||18|IN|1|061|Harrison|38.3275653|-86.0435821|02/14/1979|
431926|Byron|Populated Place|09676|U6|||18|IN|1|121|Parke|39.9036537|-87.1055662|02/14/1979|
431927|Byron|Populated Place|09658|U6|||18|IN|1|091|LaPorte|41.6561548|-86.6247427|02/14/1979|04/10/2014
431929|C and C Beach|Populated Place|10045|U6|||18|IN|1|015|Carroll|40.7033718|-86.7564001|02/14/1979|
431936|Cadiz|Populated Place|09712|P1|0630|180630065|18|IN|1|065|Henry|39.9514349|-85.4866409|02/14/1979|03/20/2008
431940|Cagle Mill|Populated Place|09740|U6|||18|IN|1|133|Putnam|39.4872662|-86.9397341|02/14/1979|
431946|Cairo|Populated Place|09766|U6|||18|IN|1|157|Tippecanoe|40.5408685|-86.9247344|02/14/1979|
431992|Calvertville|Populated Place|09838|U6|||18|IN|1|055|Greene|39.1164339|-86.9038959|02/14/1979|04/10/2014
431998|Cambria|Populated Place|09856|U6|||18|IN|1|023|Clinton|40.3658694|-86.5591682|02/14/1979|
431999|Cambridge City|Populated Place|09874|P1|0640|180640177|18|IN|1|177|Wayne|39.8125465|-85.1716315|02/14/1979|04/10/2014
432000|Camby|Populated Place|09892|U4|0645|180645097|18|IN|1|097|Marion|39.6625457|-86.3166582|02/14/1979|
432002|Camden|Populated Place|09910|P1|0650|180650015|18|IN|1|015|Carroll|40.6086485|-86.5400013|02/14/1979|03/20/2008
432004|Cammack|Populated Place|09928|U6|||18|IN|1|035|Delaware|40.2097652|-85.4924725|02/14/1979|
432012|Camp Brosend|Populated Place|10010|U6|||18|IN|1|173|Warrick|37.9644883|-87.3958421|02/14/1979|
432060|Camp Roberts|Populated Place|10020|U6|||18|IN|1|013|Brown|39.1783828|-86.1936016|02/14/1979|
432066|Camp Shor|Populated Place|10025|U6|||18|IN|1|115|Ohio|38.9981151|-84.849116|02/14/1979|
432088|Campbelltown|Populated Place|10005|U6|||18|IN|1|125|Pike|38.4214384|-87.2400104|02/14/1979|
432093|Canaan|Populated Place|10036|U5|0662|180662077|18|IN|1|077|Jefferson|38.8667247|-85.2957906|02/14/1979|01/29/2011
432102|Candleglo Village|Populated Place|10054|U6|||18|IN|1|145|Shelby|39.5575477|-85.7919239|02/14/1979|
432115|Cantaloupe|Populated Place|10135|U6|||18|IN|1|083|Knox|38.5314362|-87.5194661|02/14/1979|
432116|Canton|Populated Place|10144|U6|||18|IN|1|175|Washington|38.6239466|-86.0346983|02/14/1979|
432118|Cape Sandy|Populated Place|10180|U6|||18|IN|1|025|Crawford|38.1508979|-86.3708106|02/14/1979|
